Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Topic,Subtopic
How can you use a budget planner or savings calculator to protect your money?,Budget planners have no real use,You cannot track your own money,They only work for wealthy people,"Track spending, set goals, and see how much you can save each month",D,Easy,Basics of Saving,Practical Tools
Why is it important to save money?,"For emergencies, future goals, and financial security",So you can spend more later,Because the bank forces you to,To impress your friends,A,Easy,Basics of Saving,Save Regularly
What is saving?,Giving money to others,Borrowing money from friends,Spending all your money immediately,Setting aside money regularly for future use,D,Easy,Basics of Saving,Save Regularly
What is budgeting?,Avoiding all expenses,Keeping all your money in one place,Planning how you will spend your money,Lending money to others,C,Easy,Basics of Saving,Spending Discipline
What is a savings account?,A bank account where you can deposit money and earn interest,A credit card account,A place to keep cash at home,An investment account for stocks,A,Easy,Basics of Saving,Save Regularly
What is an emergency fund?,Money invested in stocks,Money given to family members,Money saved for unexpected expenses or emergencies,Money saved for vacation,C,Easy,Basics of Saving,Emergency Planning
Which of these is a safe way to keep your money growing?,Buying lottery tickets,Lending all your money to friends,"RBI-insured savings accounts and FDs at banks like HDFC, ICICI, SBI",Keeping cash under your mattress,C,Easy,Basics of Saving,Money Protection
What is an emergency expense?,Planned vacations,Shopping and entertainment,Unexpected urgent expenses like medical bills or car repairs,Regular monthly bills,C,Easy,Basics of Saving,Emergency Planning
What are fixed expenses?,Money spent on entertainment,Money given as gifts,Expenses that change each month,Regular expenses that stay the same each month like rent or utilities,D,Medium,Basics of Saving,Spending Discipline
How much should you have in an emergency fund?,1 year of expenses,All your savings,3-6 months of living expenses,1 month of expenses,C,Medium,Basics of Saving,Emergency Planning
What does it mean to live within your means?,Spending less than or equal to what you earn,Borrowing money regularly,Spending as much as possible,Never spending any money,A,Medium,Basics of Saving,Spending Discipline
What are variable expenses?,Expenses that never change,Monthly salary deductions,Expenses paid by insurance,Expenses that change from month to month like groceries or entertainment,D,Medium,Basics of Saving,Spending Discipline
How can you reduce your monthly expenses?,"Track spending, cut unnecessary expenses, and look for discounts",Borrow money instead,Never buy anything,Spend more on everything,A,Hard,Basics of Saving,Spending Discipline
How can you start saving with a small income?,Borrow money to save,"Save whatever you can, even if it's a small amount regularly - common for daily wage and gig workers",Save only when you have extra money,Wait until you earn more,B,Hard,Basics of Saving,Save Regularly
What is the 50/30/20 budgeting rule?,"50% savings, 30% spending, 20% investment","50% needs, 30% wants, 20% savings and debt repayment","50% wants, 30% needs, 20% savings","50% investment, 30% spending, 20% savings",B,Hard,Basics of Saving,Save Regularly
Which government scheme can help you save for your family's future?,There are no government saving schemes,Only private banks offer savings options,Saving schemes are only for government employees,PMJDY (Pradhan Mantri Jan Dhan Yojana) offers basic bank accounts with benefits,D,Hard,Basics of Saving,Government Resources
What is wealth building?,Spending more than you earn,Getting rich quick,Only for wealthy people,A long-term process of accumulating assets and increasing net worth,D,Easy,How to Grow Your Money,Goal Setting
What is inflation?,The increase in prices of goods and services over time,An increase in your salary,A decrease in prices,A type of investment,A,Easy,How to Grow Your Money,Income Sources
What is a financial goal?,A loan you need to repay,Money you spend on entertainment,The amount your boss pays you,A specific amount of money you want to save or earn by a certain date,D,Easy,How to Grow Your Money,Goal Setting
What is passive income?,Money borrowed from banks,Money given as gifts,"Money earned with minimal effort, like interest, dividends, or rent",Money earned from a job,C,Medium,How to Grow Your Money,Income Sources
